data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
2598128,764,THA3039,3039,"18 January 2019",2019,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Police Forces of Thailand (2014-)","Military Forces of Thailand (2014-) Thai Rangers",1,12,"South-Eastern Asia",Thailand,Narathiwat,Chanae,,"Ban Tue Ko",6.1134,101.704,1,"Bangkok Post",National,"On 18 Jan 2019, in Ban Tue Kor, tambon Chanae, Chanae district, Narathiwat province, police and paramilitary rangers raided a rubber plantation when encountering five armed suspected separatists. During the following gunfire one separatist was killed, presumably others were wounded.",1,1548171490,THA
2598115,764,THA3026,3026,"13 January 2019",2019,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Police Forces of Thailand (2014-)",,1,12,"South-Eastern Asia",Thailand,Pattani,"Khok Pho",,"Na Pradu",6.68,101.1487,1,"Bangkok Post",National,"On 13 Jan 2019, in Napradu, Khok Pho district, Pattani province, at least six men (suspected southern separatists) on motorcycles opened fire on the Napradu police station. A police sergeant was shot and killed.",1,1548171490,THA
2595613,764,THA3025,3025,"12 January 2019",2019,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Police Forces of Thailand (2014-)","Military Forces of Thailand (2014-) Thai Rangers",1,12,"South-Eastern Asia",Thailand,Pattani,Yaring,,Yaring,6.8661,101.3689,2,"Bangkok Post",National,"On 12 Jan 2019, in tambon Talorkapor (Yaring, Pattani), a five hours clash took place between the police and suspected southern separatist allegedly linked with the school shooting on 10 Jan 2019. Two separatists were killed. A volunteer ranger and an eight-year-old child were slightly injured.",2,1547569751,THA
2595612,764,THA3024,3024,"10 January 2019",2019,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Pattani,Yarang,,"Ban Prachan",6.7906,101.2926,2,"Bangkok Post",National,"On 10 Jan 2019, in tambon Prachan (Yarang, Pattani) about eight armed men dressed like soldiers (suspected separatists) opened fire on defence volunteers at Bukoh school. Four defence volunteers were killed.",4,1547569751,THA
2595574,360,IDN506,506,"09 January 2019",2019,1,"Battle-No change of territory","TPNPB: West Papua National Liberation Army",,2,"Police Forces of Indonesia (2014-)",,1,12,"South-Eastern Asia",Indonesia,Papua,"Puncak Jaya",Sinak,Sinak,-3.8206,137.7832,2,"Canadian Press",National,"On January 9, 2019, near the Sinak area (Puncak Jaya, Papua), the Indonesian military engaged in a gun battle with Papuan separatists believed to be West Papua National Liberation Army. One separatists was killed and one solider was injured.",1,1547569751,IDN
2555763,764,THA3016,3016,"05 January 2019",2019,2,"Battle-No change of territory","Military Forces of Thailand (2014-) Thai Rangers",,1,"Unidentified Armed Group (Thailand)",,3,13,"South-Eastern Asia",Thailand,"Chiang Rai","Mae Fa Luang",,"Mae Fa Luang",20.2662,99.7984,2,"Chiang Rai Times",National,"Around 5 Jan 2019, in Mae Fah Luang district (Chiang Rai), a firefight took place between army rangers and drug couriers at the Thai-Myanmar border. Four drug suspects were killed.",4,1546889783,THA
2555576,360,IDN505,505,"31 December 2018",2018,1,"Battle-No change of territory","Police Forces of Indonesia (2014-)",,1,"MIT: Mujahidin Indonesia Timur",,2,12,"South-Eastern Asia",Indonesia,"Central Sulawesi","Parigi Moutong",Sausu,Salubanga,-1.1234,120.4385,1,Xinhua,International,"On December 31, 2018, in Salubanga village, (Parigi Moutong, Central Sulawesi), Indonesian police engaged in a shootout with members of the East Indonesia Mujahidin (MIT) organization. Two Indonesian police were wounded.",0,1546889783,IDN
2555758,764,THA3011,3011,"29 December 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Thai Rangers",,1,12,"South-Eastern Asia",Thailand,Narathiwat,"Si Sakhon",,"Si Sakhon",6.2313,101.5004,2,"Bangkok Post",National,"On 29 Dec 2018, tambon Si Sakhon (Si Sakhon, Narathiwat), suspected separatists ambushed a pickup truck carrying three rangers. During the subsequent gunfire, the three rangers were seriously injured.",0,1546889783,THA
2555752,764,THA3005,3005,"28 December 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps","Police Forces of Thailand (2014-)",1,12,"South-Eastern Asia",Thailand,Narathiwat,Ra-Ngae,,"Ka Li Sa",6.232,101.6757,1,"Bangkok Post",National,"On 28 Dec 2018, tambon Ka Li Sa (Ra-Ngae, Narathiwat), a number of armed men (suspected separatists) opened fire on a security outpost. Subsequently the armed group and defence volunteers exchanged fire for 30 minutes. Meanwhile, another group blocked the way to the outpost by cutting a tree and scattering metal spikes over the road. No fatalities noted.",0,1546889783,THA
2555740,764,THA2993,2993,"23 December 2018",2018,1,"Battle-No change of territory","Southern Muslim Separatists (Thailand)",,2,"Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,12,"South-Eastern Asia",Thailand,Pattani,"Sai Buri",,"Sai Buri",6.7013,101.6167,2,"Nation (Thailand)",National,"On 23 Dec 2018, Moo 4 of tambon Troh Bon (Sai Buri, Pattani); six armed men (suspected Southern Muslim Separatists) attacked 10 village defence volunteers who were guarding Ban Seu Dang School. The volunteers were gagged and tied up and the armed men seized their four shotguns and 20 bullets.",0,1546889783,THA
2555737,764,THA2990,2990,"20 December 2018",2018,1,"Battle-No change of territory","Police Forces of Thailand (2014-)",,1,"Southern Muslim Separatists (Thailand)",,2,12,"South-Eastern Asia",Thailand,Yala,"Mueang Yala",,"Lam Mai",6.5887,101.1959,1,"Nation (Thailand)",National,"On 20 Dec 2018, Lam Mai (Muang Yala, Yala), Southern Muslim Separatists shot ten to 15 rounds of gunfire at the Lam Mai police station in Moo 6. No fatalities.",0,1546889783,THA
2555738,764,THA2991,2991,"20 December 2018",2018,1,"Battle-No change of territory","Military Forces of Thailand (2014-)",,1,"Southern Muslim Separatists (Thailand)",,2,12,"South-Eastern Asia",Thailand,Yala,Yaha,,"Ban Pa Tae",6.4118,101.1339,1,"Nation (Thailand)",National,"On 20 Dec 2018, in Ban Padae (Yaha, Yala), Southern Muslim Separatists attacked an army post. No fatalities noted.",0,1546889783,THA
2555739,764,THA2992,2992,"20 December 2018",2018,1,"Battle-No change of territory","Military Forces of Thailand (2014-) Volunteer Defense Corps",,1,"Southern Muslim Separatists (Thailand)",,2,12,"South-Eastern Asia",Thailand,Yala,"Bannang Sata",,"Bannang Sata",6.2663,101.2646,2,"Nation (Thailand)",National,"On 20 Dec 2018, in Ngoh Kapo village, Bannang Sata district, Yala province, Southern Muslim Separatists attacked a facility used by civilian defence forces. No fatalities noted.",0,1546889783,THA
2353182,360,IDN486,486,"12 December 2018",2018,1,"Battle-No change of territory","Military Forces of Indonesia (2014-)",,1,"Police Forces of Indonesia (2014-)",,1,11,"South-Eastern Asia",Indonesia,Jakarta,"East Jakarta",Ciracas,Ciracas,-6.3274,106.8778,1,"Jakarta Post",National,"On December 12, 2018, in Ciracas subdistrict (East Jakarta, Jakarta), a mob of Indonesian Military (TNI) personnel ransacked and burned down part of Ciracas Police station because the police had not yet arrested the attackers of a captain in the Navy who was attacked by on December 10. TNI damaged official vehicles and left several officers seriously injured. Police detained seven people.",0,1545145642,IDN
2353360,764,THA2989,2989,"12 December 2018",2018,1,"Battle-No change of territory","Military Forces of Thailand (2014-) Thai Rangers",,1,"Southern Muslim Separatists (Thailand)",,2,12,"South-Eastern Asia",Thailand,Narathiwat,Ra-Ngae,,Rangae,6.2967,101.7284,2,"Nation (Thailand)",National,"On 12 Dec 2018, Taway mountain range, Rangae district, Narathiwat province, Thai Rangers' 45th Regiment and eight Southern Muslim Separatists exchanged gunfire for 10 minutes. Two separatists were believed to have been injured.",0,1545145642,THA
2348674,764,THA2986,2986,"06 December 2018",2018,1,"Battle-No change of territory","Police Forces of Thailand (2014-)","Military Forces of Thailand (2014-)",1,"Unidentified Armed Group (Thailand)",,3,13,"South-Eastern Asia",Thailand,"Chiang Rai","Wiang Chai",,"Ban Wiang Nuea",20.2787,100.083,1,"Chiang Rai Times",National,"On 06-December-2018, in tambon Wiang Nuea, Wiang Chai district, Chiang Rai, police and military shot and killed a drug trafficker in a firefight. 15 million methamphetamine pills were seized.",1,1544551405,THA
