origin,destination,year,inflows
Austria,Belgium,2008,284
Austria,Belgium,2009,283
Austria,Belgium,2010,282
Austria,Belgium,2011,305
Austria,Belgium,2012,280
Austria,Belgium,2013,283
Austria,Belgium,2014,196
Austria,Belgium,2015,225
Austria,Belgium,2016,201
Austria,Czech Republic,2003,273
Austria,Czech Republic,2004,408
Austria,Czech Republic,2005,384
Austria,Czech Republic,2006,111
Austria,Czech Republic,2007,201
Austria,Czech Republic,2008,503
Austria,Czech Republic,2009,386
Austria,Czech Republic,2010,385
Austria,Czech Republic,2011,326
Austria,Czech Republic,2012,188
Austria,Czech Republic,2013,207
Austria,Czech Republic,2014,116
Austria,Czech Republic,2015,123
Austria,Czech Republic,2016,127
Austria,Denmark,2000,58
Austria,Denmark,2001,46
Austria,Denmark,2002,63
Austria,Denmark,2003,61
Austria,Denmark,2004,61
Austria,Denmark,2005,75
Austria,Denmark,2006,102
Austria,Denmark,2007,132
Austria,Denmark,2008,90
Austria,Denmark,2009,131
Austria,Denmark,2010,145
Austria,Denmark,2011,140
Austria,Denmark,2012,110
Austria,Denmark,2013,121
Austria,Denmark,2014,144
Austria,Denmark,2015,135
Austria,Denmark,2016,135
Austria,Finland,2000,15
Austria,Finland,2001,26
Austria,Finland,2002,27
Austria,Finland,2003,39
Austria,Finland,2004,26
Austria,Finland,2005,33
Austria,Finland,2006,40
Austria,Finland,2007,58
Austria,Finland,2008,39
Austria,Finland,2009,32
Austria,Finland,2010,33
Austria,Finland,2011,29
Austria,Finland,2012,39
Austria,Finland,2013,26
Austria,Finland,2014,32
Austria,Finland,2015,30
Austria,Finland,2016,55
Austria,France,2000,0
Austria,France,2001,0
Austria,France,2002,0
Austria,France,2003,0
Austria,France,2004,0
Austria,France,2005,0
Austria,France,2006,0
Austria,France,2007,0
Austria,France,2008,0
Austria,France,2009,0
Austria,France,2010,0
Austria,France,2011,0
Austria,France,2012,0
Austria,France,2013,353
Austria,France,2014,410
Austria,France,2015,414
Austria,France,2016,307
Austria,Germany,2000,11863
Austria,Germany,2001,11614
Austria,Germany,2002,10167
Austria,Germany,2003,9154
Austria,Germany,2004,8998
Austria,Germany,2005,8647
Austria,Germany,2006,9830
Austria,Germany,2007,10596
Austria,Germany,2008,9477
Austria,Germany,2009,9957
Austria,Germany,2010,10039
Austria,Germany,2011,10199
Austria,Germany,2012,10089
Austria,Germany,2013,9955
Austria,Germany,2014,10120
Austria,Germany,2015,10181
Austria,Germany,2016,10393
Austria,Hungary,2000,156
Austria,Hungary,2001,124
Austria,Hungary,2002,84
Austria,Hungary,2003,93
Austria,Hungary,2004,24
Austria,Hungary,2005,793
Austria,Hungary,2006,381
Austria,Hungary,2007,308
Austria,Hungary,2008,659
Austria,Hungary,2009,670
Austria,Hungary,2010,585
Austria,Hungary,2011,541
Austria,Hungary,2012,455
Austria,Hungary,2013,450
Austria,Hungary,2014,472
Austria,Hungary,2015,394
Austria,Hungary,2016,385
Austria,Iceland,2000,12
Austria,Iceland,2001,12
Austria,Iceland,2002,15
Austria,Iceland,2003,11
Austria,Iceland,2004,17
Austria,Iceland,2005,13
Austria,Iceland,2006,23
Austria,Iceland,2007,24
Austria,Iceland,2008,39
Austria,Iceland,2009,27
Austria,Iceland,2010,26
Austria,Iceland,2011,12
Austria,Iceland,2012,10
Austria,Iceland,2013,19
Austria,Iceland,2014,21
Austria,Iceland,2015,21
Austria,Iceland,2016,32
Austria,Italy,2000,412
Austria,Italy,2002,337
Austria,Italy,2003,383
Austria,Italy,2004,381
Austria,Italy,2005,366
Austria,Italy,2006,353
Austria,Italy,2007,484
Austria,Italy,2008,457
Austria,Italy,2009,346
Austria,Italy,2010,343
Austria,Italy,2011,317
Austria,Italy,2012,331
Austria,Italy,2013,236
Austria,Italy,2014,209
Austria,Italy,2015,220
Austria,Italy,2016,245
Austria,Luxembourg,2000,31
Austria,Luxembourg,2001,52
Austria,Luxembourg,2002,38
Austria,Luxembourg,2003,31
Austria,Luxembourg,2004,52
Austria,Luxembourg,2005,68
Austria,Luxembourg,2006,79
Austria,Luxembourg,2007,49
Austria,Luxembourg,2008,58
Austria,Luxembourg,2009,72
Austria,Luxembourg,2010,62
Austria,Luxembourg,2011,64
Austria,Luxembourg,2012,65
Austria,Luxembourg,2013,60
Austria,Luxembourg,2014,104
Austria,Luxembourg,2015,70
Austria,Luxembourg,2016,73
Austria,Netherlands,2000,327
Austria,Netherlands,2001,367
Austria,Netherlands,2002,368
Austria,Netherlands,2003,330
Austria,Netherlands,2004,297
Austria,Netherlands,2005,307
Austria,Netherlands,2006,363
Austria,Netherlands,2007,372
Austria,Netherlands,2008,478
Austria,Netherlands,2009,402
Austria,Netherlands,2010,490
Austria,Netherlands,2011,527
Austria,Netherlands,2012,458
Austria,Netherlands,2013,489
Austria,Netherlands,2014,659
Austria,Netherlands,2015,609
Austria,Netherlands,2016,712
Austria,Norway,2000,55
Austria,Norway,2001,43
Austria,Norway,2002,44
Austria,Norway,2003,47
Austria,Norway,2004,73
Austria,Norway,2005,79
Austria,Norway,2006,103
Austria,Norway,2007,116
Austria,Norway,2008,164
Austria,Norway,2009,101
Austria,Norway,2010,164
Austria,Norway,2011,114
Austria,Norway,2012,149
Austria,Norway,2013,142
Austria,Norway,2014,100
Austria,Norway,2015,102
Austria,Norway,2016,108
Austria,Poland,2000,170
Austria,Poland,2001,195
Austria,Poland,2002,278
Austria,Poland,2003,207
Austria,Poland,2004,282
Austria,Poland,2005,333
Austria,Poland,2006,175
Austria,Poland,2007,232
Austria,Poland,2008,168
Austria,Poland,2009,178
Austria,Poland,2010,185
Austria,Poland,2011,176
Austria,Poland,2012,139
Austria,Poland,2013,111
Austria,Poland,2014,112
Austria,Poland,2015,111
Austria,Poland,2016,76
Austria,Slovak Republic,2003,109
Austria,Slovak Republic,2004,363
Austria,Slovak Republic,2005,405
Austria,Slovak Republic,2006,430
Austria,Slovak Republic,2007,348
Austria,Slovak Republic,2008,304
Austria,Slovak Republic,2009,331
Austria,Slovak Republic,2010,247
Austria,Slovak Republic,2011,152
Austria,Slovak Republic,2012,63
Austria,Slovak Republic,2013,29
Austria,Slovak Republic,2014,44
Austria,Slovak Republic,2015,91
Austria,Slovak Republic,2016,61
Austria,Spain,2000,451
Austria,Spain,2001,492
Austria,Spain,2002,563
Austria,Spain,2003,533
Austria,Spain,2004,777
Austria,Spain,2005,914
Austria,Spain,2006,1016
Austria,Spain,2007,1170
Austria,Spain,2008,845
Austria,Spain,2009,676
Austria,Spain,2010,658
Austria,Spain,2011,620
Austria,Spain,2012,607
Austria,Spain,2013,584
Austria,Spain,2014,553
Austria,Spain,2015,539
Austria,Spain,2016,595
Austria,Sweden,2000,137
Austria,Sweden,2001,131
Austria,Sweden,2002,165
Austria,Sweden,2003,141
Austria,Sweden,2004,107
Austria,Sweden,2005,130
Austria,Sweden,2006,173
Austria,Sweden,2007,207
Austria,Sweden,2008,228
Austria,Sweden,2009,219
Austria,Sweden,2010,185
Austria,Sweden,2011,151
Austria,Sweden,2012,218
Austria,Sweden,2013,171
Austria,Sweden,2014,228
Austria,Sweden,2015,192
Austria,Sweden,2016,242
Austria,Switzerland,2000,2033
Austria,Switzerland,2001,2450
Austria,Switzerland,2002,2564
Austria,Switzerland,2003,2012
Austria,Switzerland,2004,2257
Austria,Switzerland,2005,1905
Austria,Switzerland,2006,2009
Austria,Switzerland,2007,2840
Austria,Switzerland,2008,3202
Austria,Switzerland,2009,2775
Austria,Switzerland,2010,2579
Austria,Switzerland,2011,2855
Austria,Switzerland,2012,3054
Austria,Switzerland,2013,2915
Austria,Switzerland,2014,2961
Austria,Switzerland,2015,3168
Austria,Switzerland,2016,2923
Austria,United Kingdom,2000,1193
Austria,United Kingdom,2001,1016
Austria,United Kingdom,2012,1000
Austria,United Kingdom,2013,1000
Austria,United Kingdom,2014,1000
Austria,United Kingdom,2015,1000
Austria,Estonia,2004,1
Austria,Estonia,2005,2
Austria,Estonia,2006,6
Austria,Estonia,2007,9
Austria,Estonia,2008,12
Austria,Estonia,2009,11
Austria,Estonia,2010,10
Austria,Estonia,2011,0
Austria,Estonia,2012,0
Austria,Estonia,2013,1
Austria,Estonia,2014,0
Austria,Estonia,2015,31
Austria,Estonia,2016,40
Austria,Slovenia,2007,6
Austria,Slovenia,2008,119
